# Flyway V2 — Full E-Commerce Seed Catalog

I’ve structured this around **152 products + exactly 400 SKUs**, with `P001–P152` as product IDs and `S001–S400` as SKU IDs.

The prices and stock below are **illustrative seed-data values** rather than live retail prices.

## 1. Product Attribute Categories

| Attribute Category | JSONB Attributes                          |
| ------------------ | ----------------------------------------- |
| Smartphone Specs   | `color`, `storage`                        |
| Laptop Specs       | `ram`, `storage`, `color`                 |
| Audio Specs        | `color`                                   |
| Shoe Sizes         | `size_us`, `color`                        |
| Apparel Sizes      | `size`, `color`                           |
| Beauty Shades      | `shade`                                   |
| Book Editions      | `format`                                  |
| Grocery Pack       | `pack_size`                               |
| Display Specs      | `size_inches`, `resolution`               |
| General Variants   | `color`, `size`, `capacity` as applicable |

---

# 2. Products — 152 Products

## Electronics — P001 to P019

| ID   | Brand      | Subcategory          | Product                       | Variant Pattern       | Attr Category    |
| S080   | P026       | `HM-HMD-S-BLK`          | S-BLK   | `{"size":"S","color":"Black"}`    |   2,500 |       — |   121 |
| S081   | P026       | `HM-HMD-M-BLK`          | M-BLK   | `{"size":"M","color":"Black"}`    |   2,500 |   2,250 |   116 |
| S082   | P026       | `HM-HMD-L-BLK`          | L-BLK   | `{"size":"L","color":"Black"}`    |   2,500 |       — |   101 |
| S083   | P026       | `HM-HMD-XL-BLK`         | XL-BLK  | `{"size":"XL","color":"Black"}`   |   2,500 |       — |   150 |
| S084   | P027       | `FABIND-FBKRT-S-BLK`    | S-BLK   | `{"size":"S","color":"Black"}`    |   2,710 |       — |   159 |
| S085   | P027       | `FABIND-FBKRT-M-BLK`    | M-BLK   | `{"size":"M","color":"Black"}`    |   2,710 |   2,220 |    84 |
| S086   | P027       | `FABIND-FBKRT-L-BLK`    | L-BLK   | `{"size":"L","color":"Black"}`    |   2,710 |       — |    74 |
| S087   | P027       | `FABIND-FBKRT-XL-BLK`   | XL-BLK  | `{"size":"XL","color":"Black"}`   |   2,710 |       — |    38 |
| S088   | P028       | `MANYAVAR-MVKRT-S-BLK`  | S-BLK   | `{"size":"S","color":"Black"}`    |   2,550 |       — |   121 |
| S089   | P028       | `MANYAVAR-MVKRT-M-BLK`  | M-BLK   | `{"size":"M","color":"Black"}`    |   2,550 |       — |    93 |
| S090   | P028       | `MANYAVAR-MVKRT-L-BLK`  | L-BLK   | `{"size":"L","color":"Black"}`    |   2,550 |   2,300 |   149 |
| S091   | P028       | `MANYAVAR-MVKRT-XL-BLK` | XL-BLK  | `{"size":"XL","color":"Black"}`   |   2,550 |       — |    92 |
| S092   | P029       | `WFW-WKS-S-BLK`         | S-BLK   | `{"size":"S","color":"Black"}`    |   3,480 |       — |    96 |
| S093   | P029       | `WFW-WKS-M-BLK`         | M-BLK   | `{"size":"M","color":"Black"}`    |   3,480 |       — |    98 |
| S094   | P029       | `WFW-WKS-L-BLK`         | L-BLK   | `{"size":"L","color":"Black"}`    |   3,480 |   3,130 |    63 |
| S095   | P029       | `WFW-WKS-XL-BLK`        | XL-BLK  | `{"size":"XL","color":"Black"}`   |   3,480 |       — |    81 |
| S096   | P030       | `NIKE-AM270-BLK-8`      | BLK-8   | `{"color":"Black","size_us":"8"}` |   9,820 |       — |    76 |
| S097   | P030       | `NIKE-AM270-BLK-9`      | BLK-9   | `{"color":"Black","size_us":"9"}` |   9,820 |       — |    95 |
| S098   | P030       | `NIKE-AM270-WHT-8`      | WHT-8   | `{"color":"White","size_us":"8"}` |   9,820 |       — |    62 |
| S099   | P030       | `NIKE-AM270-WHT-9`      | WHT-9   | `{"color":"White","size_us":"9"}` |   9,820 |   9,030 |    33 |
| S100   | P031       | `ADIDAS-UBLGT-BLK-8`    | BLK-8   | `{"color":"Black","size_us":"8"}` |   8,260 |       — |   150 |
| S101   | P031       | `ADIDAS-UBLGT-BLK-9`    | BLK-9   | `{"color":"Black","size_us":"9"}` |   8,260 |       — |   118 |
| S102   | P031       | `ADIDAS-UBLGT-WHT-8`    | WHT-8   | `{"color":"White","size_us":"8"}` |   8,260 |       — |    23 |
| S103   | P031       | `ADIDAS-UBLGT-WHT-9`    | WHT-9   | `{"color":"White","size_us":"9"}` |   8,260 |   6,770 |   108 |
| S104   | P032       | `PUMA-VN3-BLK-8`        | BLK-8   | `{"color":"Black","size_us":"8"}` |   2,840 |       — |     9 |
| S105   | P032       | `PUMA-VN3-BLK-9`        | BLK-9   | `{"color":"Black","size_us":"9"}` |   2,840 |       — |    16 |
| S106   | P032       | `PUMA-VN3-WHT-8`        | WHT-8   | `{"color":"White","size_us":"8"}` |   2,840 |       — |    70 |
| S107   | P032       | `PUMA-VN3-WHT-9`        | WHT-9   | `{"color":"White","size_us":"9"}` |   2,840 |       — |   145 |
| S108   | P033       | `TNF-VEND-BLK-8`        | BLK-8   | `{"color":"Black","size_us":"8"}` |   2,540 |   2,160 |   133 |
| S109   | P033       | `TNF-VEND-BLK-9`        | BLK-9   | `{"color":"Black","size_us":"9"}` |   2,540 |       — |    62 |
| S110   | P033       | `TNF-VEND-WHT-8`        | WHT-8   | `{"color":"White","size_us":"8"}` |   2,540 |       — |    18 |
| S111   | P033       | `TNF-VEND-WHT-9`        | WHT-9   | `{"color":"White","size_us":"9"}` |   2,540 |       — |    61 |
| S112   | P034       | `RAYBAN-AVCL-BLK`       | BLK     | `{"color":"Black"}`               |     960 |     860 |    93 |
| S113   | P034       | `RAYBAN-AVCL-SLV`       | SLV     | `{"color":"Silver"}`              |     980 |       — |   151 |
| S114   | P035       | `VANH-VHBLT-S`          | S       | `{"size":"S"}`                    |   6,090 |       — |   145 |
| S115   | P035       | `VANH-VHBLT-M`          | M       | `{"size":"M"}`                    |   6,090 |       — |    60 |
| S116   | P035       | `VANH-VHBLT-L`          | L       | `{"size":"L"}`                    |   6,090 |       — |   141 |
| S117   | P036       | `UNIQLO-RMSB-BLK`       | BLK     | `{"color":"Black"}`               |   5,250 |   4,720 |    41 |
| S118   | P036       | `UNIQLO-RMSB-SLV`       | SLV     | `{"color":"Silver"}`              |   5,350 |       — |    22 |
| S119   | P037       | `NIKE-HBPK-BLK`         | BLK     | `{"color":"Black"}`               |   1,150 |       — |   120 |
| S120   | P037       | `NIKE-HBPK-SLV`         | SLV     | `{"color":"Silver"}`              |   1,170 |       — |    73 |
| S121   | P038       | `ADIDAS-3SCAP-M`        | M       | `{"size":"M"}`                    |   3,310 |   2,910 |    88 |
| S122   | P038       | `ADIDAS-3SCAP-L`        | L       | `{"size":"L"}`                    |   3,310 |       — |   139 |
| S123   | P038       | `ADIDAS-3SCAP-XL`       | XL      | `{"size":"XL"}`                   |   3,310 |       — |    70 |

## Home & Kitchen — S124 to S160

| SKU ID | Product ID | SKU                   | Variant | SKU Attributes JSONB      | Price ₹ | Promo ₹ | Stock |
| ------ | ---------- | --------------------- | ------- | ------------------------- | ------: | ------: | ----: |
| S124   | P039       | `IKEA-MALM6-STD`      | STD     | `{"color":"Black"}`       |  17,780 |       — |   140 |
| S125   | P040       | `IKEA-LACK-BLK`       | BLK     | `{"color":"Black"}`       |  21,530 |       — |    80 |
| S126   | P040       | `IKEA-LACK-SLV`       | SLV     | `{"color":"Silver"}`      |  21,960 |  18,010 |    85 |
| S127   | P041       | `IKEA-BILLY-BLK`      | BLK     | `{"color":"Black"}`       |  14,620 |       — |    32 |
| S128   | P041       | `IKEA-BILLY-SLV`      | SLV     | `{"color":"Silver"}`      |  14,910 |       — |    89 |
| S129   | P042       | `PHILIPS-AF3K-4L`     | 4L      | `{"capacity":"4L"}`       |  15,620 |       — |    75 |
| S130   | P042       | `PHILIPS-AF3K-6L`     | 6L      | `{"capacity":"6L"}`       |  15,620 |  14,060 |   137 |
| S131   | P043       | `DYSON-V15D-STD`      | STD     | `{}`                      |  10,510 |       — |    25 |
| S132   | P044       | `BOSCH-BOSDW-12P`     | 12P     | `{"capacity":"12-place"}` |   9,130 |       — |   118 |
| S133   | P044       | `BOSCH-BOSDW-14P`     | 14P     | `{"capacity":"14-place"}` |   9,130 |       — |    32 |
| S134   | P045       | `PRESTIGE-AFPRO-4L`   | 4L      | `{"capacity":"4L"}`       |  23,130 |       — |    70 |
| S135   | P045       | `PRESTIGE-AFPRO-6L`   | 6L      | `{"capacity":"6L"}`       |  23,130 |  18,970 |    30 |
| S136   | P046       | `HAWKINS-CONT-3L`     | 3L      | `{"capacity":"3L"}`       |   6,850 |       — |    76 |
| S137   | P046       | `HAWKINS-CONT-5L`     | 5L      | `{"capacity":"5L"}`       |   6,850 |       — |    67 |
| S138   | P047       | `KENT-KGR-STD`        | STD     | `{"color":"Black"}`       |  22,540 |       — |   111 |
| S139   | P048       | `LG-LGW65-6.5KG`      | 6.5KG   | `{"capacity":"6.5kg"}`    |  14,170 |  12,040 |    66 |
| S140   | P048       | `LG-LGW65-8KG`        | 8KG     | `{"capacity":"8kg"}`      |  14,170 |       — |    61 |
| S141   | P049       | `BOSCH-BOS8-6.5KG`    | 6.5KG   | `{"capacity":"6.5kg"}`    |   4,660 |       — |   138 |
| S142   | P049       | `BOSCH-BOS8-8KG`      | 8KG     | `{"capacity":"8kg"}`      |   4,660 |       — |    19 |
| S143   | P050       | `BAJAJ-MTF-BLK`       | BLK     | `{"color":"Black"}`       |  44,600 |       — |    67 |
| S144   | P050       | `BAJAJ-MTF-SLV`       | SLV     | `{"color":"Silver"}`      |  45,500 |  40,040 |    76 |
| S145   | P051       | `HAVELLS-AQP-10L`     | 10L     | `{"capacity":"10L"}`      |   7,550 |       — |    75 |
| S146   | P051       | `HAVELLS-AQP-15L`     | 15L     | `{"capacity":"15L"}`      |   7,550 |       — |    11 |
| S147   | P052       | `USHA-MAF-BLK`        | BLK     | `{"color":"Black"}`       |  45,620 |       — |   133 |
| S148   | P052       | `USHA-MAF-SLV`        | SLV     | `{"color":"Silver"}`      |  46,530 |  41,880 |   144 |
| S149   | P053       | `BUTTERFLY-RB3-STD`   | STD     | `{"color":"Black"}`       |   6,360 |       — |    13 |
| S150   | P054       | `CROMPTON-SEK-1.5L`   | 1.5L    | `{"capacity":"1.5L"}`     |   1,740 |       — |     8 |
| S151   | P054       | `CROMPTON-SEK-2L`     | 2L      | `{"capacity":"2L"}`       |   2,220 |       — |    75 |
| S152   | P055       | `WONDERCHEF-GFP-24CM` | 24CM    | `{"size":"24cm"}`         |   5,200 |       — |   137 |
| S153   | P055       | `WONDERCHEF-GFP-26CM` | 26CM    | `{"size":"26cm"}`         |   5,200 |   4,420 |    63 |
| S154   | P055       | `WONDERCHEF-GFP-28CM` | 28CM    | `{"size":"28cm"}`         |   5,200 |       — |    44 |
| S155   | P056       | `PRESTIGE-ODP-24CM`   | 24CM    | `{"size":"24cm"}`         |   4,820 |       — |    98 |
| S156   | P056       | `PRESTIGE-ODP-26CM`   | 26CM    | `{"size":"26cm"}`         |   4,820 |       — |    33 |
| S157   | P056       | `PRESTIGE-ODP-28CM`   | 28CM    | `{"size":"28cm"}`         |   4,820 |   4,340 |    52 |
| S158   | P057       | `HAWKINS-FNT-24CM`    | 24CM    | `{"size":"24cm"}`         |   6,970 |       — |    94 |
| S159   | P057       | `HAWKINS-FNT-26CM`    | 26CM    | `{"size":"26cm"}`         |   6,970 |       — |    93 |
| S160   | P057       | `HAWKINS-FNT-28CM`    | 28CM    | `{"size":"28cm"}`         |   6,970 |       — |    33 |

## Beauty & Personal Care — S161 to S214

| SKU ID | Product ID | SKU                    | Variant | SKU Attributes JSONB            | Price ₹ | Promo ₹ | Stock |
| ------ | ---------- | ---------------------- | ------- | ------------------------------- | ------: | ------: | ----: |
| S161   | P058       | `ORDINARY-NOZ-STD`     | STD     | `{"color":"Black"}`             |   1,230 |       — |   141 |
| S162   | P059       | `NIVEA-NSOFT-30ML`     | 30ML    | `{"pack_size":"30ml"}`          |   2,150 |   1,940 |   124 |
| S163   | P059       | `NIVEA-NSOFT-50ML`     | 50ML    | `{"pack_size":"50ml"}`          |   2,150 |       — |    24 |
| S164   | P060       | `CLINIQUE-MS100-30ML`  | 30ML    | `{"pack_size":"30ml"}`          |     900 |       — |   115 |
| S165   | P060       | `CLINIQUE-MS100-50ML`  | 50ML    | `{"pack_size":"50ml"}`          |     900 |       — |    97 |
| S166   | P060       | `CLINIQUE-MS100-100ML` | 100ML   | `{"pack_size":"100ml"}`         |     900 |     810 |    94 |
| S167   | P061       | `NEUTRO-HWB-30ML`      | 30ML    | `{"pack_size":"30ml"}`          |   2,340 |       — |    65 |
| S168   | P061       | `NEUTRO-HWB-50ML`      | 50ML    | `{"pack_size":"50ml"}`          |   2,340 |       — |   127 |
| S169   | P061       | `NEUTRO-HWB-100ML`     | 100ML   | `{"pack_size":"100ml"}`         |   2,340 |       — |    95 |
| S170   | P062       | `MAMAEARTH-VCFS-STD`   | STD     | `{"color":"Black"}`             |   2,170 |       — |    48 |
| S171   | P063       | `MINIMAL-SA2-STD`      | STD     | `{"color":"Black"}`             |   1,840 |   1,620 |    70 |
| S172   | P064       | `FOREST-FTM-30ML`      | 30ML    | `{"pack_size":"30ml"}`          |   1,450 |       — |    75 |
| S173   | P064       | `FOREST-FTM-50ML`      | 50ML    | `{"pack_size":"50ml"}`          |   1,450 |       — |   106 |
| S174   | P064       | `FOREST-FTM-100ML`     | 100ML   | `{"pack_size":"100ml"}`         |   1,450 |       — |   149 |
| S175   | P065       | `PLUM-GTFW-30ML`       | 30ML    | `{"pack_size":"30ml"}`          |   2,300 |   1,960 |   125 |
| S176   | P065       | `PLUM-GTFW-50ML`       | 50ML    | `{"pack_size":"50ml"}`          |   2,300 |       — |   150 |
| S177   | P065       | `PLUM-GTFW-100ML`      | 100ML   | `{"pack_size":"100ml"}`         |   2,300 |       — |    41 |
| S178   | P066       | `LOREAL-TMatch-110`    | 110     | `{"shade":"110 Porcelain"}`     |     700 |       — |   134 |
| S179   | P066       | `LOREAL-TMatch-120`    | 120     | `{"shade":"120 Classic Ivory"}` |     700 |       — |   115 |
| S180   | P066       | `LOREAL-TMatch-130`    | 130     | `{"shade":"130 Buff Beige"}`    |     700 |     620 |   151 |
| S181   | P066       | `LOREAL-TMatch-220`    | 220     | `{"shade":"220 Natural Beige"}` |     700 |       — |    42 |
| S182   | P067       | `MAYBELLINE-FMF-110`   | 110     | `{"shade":"110 Porcelain"}`     |   1,660 |       — |    79 |
| S183   | P067       | `MAYBELLINE-FMF-120`   | 120     | `{"shade":"120 Classic Ivory"}` |   1,660 |       — |   137 |
| S184   | P067       | `MAYBELLINE-FMF-130`   | 130     | `{"shade":"130 Buff Beige"}`    |   1,660 |   1,490 |    27 |
| S185   | P067       | `MAYBELLINE-FMF-220`   | 220     | `{"shade":"220 Natural Beige"}` |   1,660 |       — |   122 |
| S186   | P068       | `LAKME-9T5-110`        | 110     | `{"shade":"110 Porcelain"}`     |   2,180 |       — |    44 |
| S187   | P068       | `LAKME-9T5-120`        | 120     | `{"shade":"120 Classic Ivory"}` |   2,180 |       — |   107 |
| S188   | P068       | `LAKME-9T5-130`        | 130     | `{"shade":"130 Buff Beige"}`    |   2,180 |       — |    69 |
| S189   | P068       | `LAKME-9T5-220`        | 220     | `{"shade":"220 Natural Beige"}` |   2,180 |   1,960 |   121 |
| S190   | P069       | `NYKAA-SKGEN-110`      | 110     | `{"shade":"110 Porcelain"}`     |   1,710 |       — |    34 |
| S191   | P069       | `NYKAA-SKGEN-120`      | 120     | `{"shade":"120 Classic Ivory"}` |   1,710 |       — |     8 |
| S192   | P069       | `NYKAA-SKGEN-130`      | 130     | `{"shade":"130 Buff Beige"}`    |   1,710 |       — |   158 |
| S193   | P069       | `NYKAA-SKGEN-220`      | 220     | `{"shade":"220 Natural Beige"}` |   1,710 |   1,540 |    76 |
| S194   | P070       | `BIOTIQUE-BCC-30ML`    | 30ML    | `{"pack_size":"30ml"}`          |   2,310 |       — |    97 |
| S195   | P070       | `BIOTIQUE-BCC-50ML`    | 50ML    | `{"pack_size":"50ml"}`          |   2,310 |       — |   155 |
| S196   | P070       | `BIOTIQUE-BCC-100ML`   | 100ML   | `{"pack_size":"100ml"}`         |   2,310 |       — |   130 |
| S197   | P071       | `DOVE-DIR-30ML`        | 30ML    | `{"pack_size":"30ml"}`          |     760 |       — |   152 |
| S198   | P071       | `DOVE-DIR-50ML`        | 50ML    | `{"pack_size":"50ml"}`          |     760 |     680 |   140 |
| S199   | P071       | `DOVE-DIR-100ML`       | 100ML   | `{"pack_size":"100ml"}`         |     760 |       — |   121 |
| S200   | P072       | `LOREAL-ARS-30ML`      | 30ML    | `{"pack_size":"30ml"}`          |   1,840 |       — |    22 |
| S201   | P072       | `LOREAL-ARS-50ML`      | 50ML    | `{"pack_size":"50ml"}`          |   1,840 |       — |    51 |
| S202   | P072       | `LOREAL-ARS-100ML`     | 100ML   | `{"pack_size":"100ml"}`         |   1,840 |   1,620 |   149 |
| S203   | P073       | `MAMAEARTH-OHO-30ML`   | 30ML    | `{"pack_size":"30ml"}`          |     770 |       — |   132 |
| S204   | P073       | `MAMAEARTH-OHO-50ML`   | 50ML    | `{"pack_size":"50ml"}`          |     770 |       — |    76 |
| S205   | P073       | `MAMAEARTH-OHO-100ML`  | 100ML   | `{"pack_size":"100ml"}`         |     770 |       — |    95 |
| S206   | P074       | `NIVEA-MSG-30ML`       | 30ML    | `{"pack_size":"30ml"}`          |   1,570 |       — |   122 |
| S207   | P074       | `NIVEA-MSG-50ML`       | 50ML    | `{"pack_size":"50ml"}`          |   1,570 |   1,290 |    12 |
| S208   | P074       | `NIVEA-MSG-100ML`      | 100ML   | `{"pack_size":"100ml"}`         |   1,570 |       — |    94 |
| S209   | P075       | `NYKAA-MBW-30ML`       | 30ML    | `{"pack_size":"30ml"}`          |   2,440 |       — |    69 |
| S210   | P075       | `NYKAA-MBW-50ML`       | 50ML    | `{"pack_size":"50ml"}`          |   2,440 |       — |   135 |
| S211   | P075       | `NYKAA-MBW-100ML`      | 100ML   | `{"pack_size":"100ml"}`         |   2,440 |   2,000 |    55 |
| S212   | P076       | `PLUM-GTSG-30ML`       | 30ML    | `{"pack_size":"30ml"}`          |     320 |       — |   110 |
| S213   | P076       | `PLUM-GTSG-50ML`       | 50ML    | `{"pack_size":"50ml"}`          |     320 |       — |    10 |
| S214   | P076       | `PLUM-GTSG-100ML`      | 100ML   | `{"pack_size":"100ml"}`         |     320 |       — |   146 |

## Sports & Fitness — S215 to S257

| SKU ID | Product ID | SKU                    | Variant | SKU Attributes JSONB              | Price ₹ | Promo ₹ | Stock |
| ------ | ---------- | ---------------------- | ------- | --------------------------------- | ------: | ------: | ----: |
| S215   | P077       | `UA-CA10-BLK-8`        | BLK-8   | `{"color":"Black","size_us":"8"}` |   8,630 |       — |    44 |
| S216   | P077       | `UA-CA10-BLK-9`        | BLK-9   | `{"color":"Black","size_us":"9"}` |   8,630 |   7,590 |   159 |
| S217   | P077       | `UA-CA10-WHT-8`        | WHT-8   | `{"color":"White","size_us":"8"}` |   8,630 |       — |   105 |
| S218   | P077       | `UA-CA10-WHT-9`        | WHT-9   | `{"color":"White","size_us":"9"}` |   8,630 |       — |   115 |
| S219   | P078       | `DECATHLON-KRC-BLK-8`  | BLK-8   | `{"color":"Black","size_us":"8"}` |   2,480 |       — |    55 |
| S220   | P078       | `DECATHLON-KRC-BLK-9`  | BLK-9   | `{"color":"Black","size_us":"9"}` |   2,480 |   2,230 |    62 |
| S221   | P078       | `DECATHLON-KRC-WHT-8`  | WHT-8   | `{"color":"White","size_us":"8"}` |   2,480 |       — |   157 |
| S222   | P078       | `DECATHLON-KRC-WHT-9`  | WHT-9   | `{"color":"White","size_us":"9"}` |   2,480 |       — |   147 |
| S223   | P079       | `NIVIA-RACER-BLK-8`    | BLK-8   | `{"color":"Black","size_us":"8"}` |   6,930 |       — |    57 |
| S224   | P079       | `NIVIA-RACER-BLK-9`    | BLK-9   | `{"color":"Black","size_us":"9"}` |   6,930 |       — |    12 |
| S225   | P079       | `NIVIA-RACER-WHT-8`    | WHT-8   | `{"color":"White","size_us":"8"}` |   6,930 |   6,240 |    25 |
| S226   | P079       | `NIVIA-RACER-WHT-9`    | WHT-9   | `{"color":"White","size_us":"9"}` |   6,930 |       — |    60 |
| S227   | P080       | `VECTORX-SPRINT-BLK-8` | BLK-8   | `{"color":"Black","size_us":"8"}` |   4,130 |       — |   116 |
| S228   | P080       | `VECTORX-SPRINT-BLK-9` | BLK-9   | `{"color":"Black","size_us":"9"}` |   4,130 |       — |    30 |
| S229   | P080       | `VECTORX-SPRINT-WHT-8` | WHT-8   | `{"color":"White","size_us":"8"}` |   4,130 |   3,510 |    72 |
| S230   | P080       | `VECTORX-SPRINT-WHT-9` | WHT-9   | `{"color":"White","size_us":"9"}` |   4,130 |       — |    62 |
| S231   | P081       | `DECATHLON-ADJDB-STD`  | STD     | `{"color":"Black"}`               |   4,500 |       — |   118 |
| S232   | P082       | `NIVIA-HD10-STD`       | STD     | `{"color":"Black"}`               |   2,120 |       — |    46 |
| S233   | P083       | `COSCO-RTSET-STD`      | STD     | `{"color":"Black"}`               |   7,480 |       — |   129 |
| S234   | P084       | `VECTORX-PTG-M`        | M       | `{"size":"M"}`                    |   6,750 |   6,080 |    23 |
| S235   | P084       | `VECTORX-PTG-L`        | L       | `{"size":"L"}`                    |   6,750 |       — |    22 |
| S236   | P084       | `VECTORX-PTG-XL`       | XL      | `{"size":"XL"}`                   |   6,750 |       — |    83 |
| S237   | P085       | `DECATHLON-BYM-BLK`    | BLK     | `{"color":"Black"}`               |   5,020 |       — |    21 |
| S238   | P085       | `DECATHLON-BYM-SLV`    | SLV     | `{"color":"Silver"}`              |   5,120 |   4,510 |    31 |
| S239   | P086       | `NIVIA-TPEM-BLK`       | BLK     | `{"color":"Black"}`               |   1,970 |       — |    32 |
| S240   | P086       | `NIVIA-TPEM-SLV`       | SLV     | `{"color":"Silver"}`              |   2,010 |       — |    86 |
| S241   | P087       | `COSCO-YBP-BLK`        | BLK     | `{"color":"Black"}`               |   3,270 |       — |    98 |
| S242   | P087       | `COSCO-YBP-SLV`        | SLV     | `{"color":"Silver"}`              |   3,330 |       — |    66 |
| S243   | P088       | `WILSON-PS97-STD`      | STD     | `{"color":"Black"}`               |   7,760 |   6,980 |   143 |
| S244   | P089       | `YONEX-A100Z-STD`      | STD     | `{"color":"Black"}`               |   3,670 |       — |   101 |
| S245   | P090       | `SS-SSKYER-S8`         | S8      | `{"size":"8"}`                    |   1,770 |       — |    47 |
| S246   | P090       | `SS-SSKYER-S9`         | S9      | `{"size":"9"}`                    |   1,770 |       — |   142 |
| S247   | P090       | `SS-SSKYER-S10`        | S10     | `{"size":"10"}`                   |   1,770 |   1,560 |    39 |
| S248   | P091       | `SG-SGP-S8`            | S8      | `{"size":"8"}`                    |   6,600 |       — |    42 |
| S249   | P091       | `SG-SGP-S9`            | S9      | `{"size":"9"}`                    |   6,600 |       — |   129 |
| S250   | P091       | `SG-SGP-S10`           | S10     | `{"size":"10"}`                   |   6,600 |       — |    81 |
| S251   | P092       | `DECATHLON-QHB40-BLK`  | BLK     | `{"color":"Black"}`               |   1,510 |       — |    31 |
| S252   | P092       | `DECATHLON-QHB40-SLV`  | SLV     | `{"color":"Silver"}`              |   1,540 |   1,390 |    45 |
| S253   | P093       | `NIVIA-STORM-STD`      | STD     | `{"color":"Black"}`               |   1,910 |       — |    76 |
| S254   | P094       | `COSCO-CVB-STD`        | STD     | `{"color":"Black"}`               |   2,460 |       — |   117 |
| S255   | P095       | `WILSON-NBAOB-M`       | M       | `{"size":"M"}`                    |   2,370 |       — |    69 |
| S256   | P095       | `WILSON-NBAOB-L`       | L       | `{"size":"L"}`                    |   2,370 |   1,940 |   108 |
| S257   | P095       | `WILSON-NBAOB-XL`      | XL      | `{"size":"XL"}`                   |   2,370 |       — |    86 |

## Books & Stationery — S258 to S305

| SKU ID | Product ID | SKU                  | Variant | SKU Attributes JSONB     | Price ₹ | Promo ₹ | Stock |
| ------ | ---------- | -------------------- | ------- | ------------------------ | ------: | ------: | ----: |
| S258   | P096       | `PRH-MNL-PB`         | PB      | `{"format":"Paperback"}` |   1,240 |       — |   202 |
| S259   | P096       | `PRH-MNL-HC`         | HC      | `{"format":"Hardcover"}` |   1,270 |       — |    97 |
| S260   | P096       | `PRH-MNL-KD`         | KD      | `{"format":"Kindle"}`    |   1,190 |       — |    46 |
| S261   | P097       | `PRH-1984-PB`        | PB      | `{"format":"Paperback"}` |   1,440 |   1,300 |   166 |
| S262   | P097       | `PRH-1984-HC`        | HC      | `{"format":"Hardcover"}` |   1,480 |       — |   224 |
| S263   | P097       | `PRH-1984-KD`        | KD      | `{"format":"Kindle"}`    |   1,380 |       — |   160 |
| S264   | P098       | `RUPA-TSP-PB`        | PB      | `{"format":"Paperback"}` |   1,770 |       — |    21 |
| S265   | P098       | `RUPA-TSP-HC`        | HC      | `{"format":"Hardcover"}` |   1,820 |   1,490 |   116 |
| S266   | P098       | `RUPA-TSP-KD`        | KD      | `{"format":"Kindle"}`    |   1,700 |       — |   168 |
| S267   | P099       | `ACK-MHB-PB`         | PB      | `{"format":"Paperback"}` |     430 |       — |    91 |
| S268   | P099       | `ACK-MHB-HC`         | HC      | `{"format":"Hardcover"}` |     450 |       — |   173 |
| S269   | P099       | `ACK-MHB-KD`         | KD      | `{"format":"Kindle"}`    |     420 |       — |   243 |
| S270   | P100       | `PRH-AH-PB`          | PB      | `{"format":"Paperback"}` |   1,500 |   1,230 |   103 |
| S271   | P100       | `PRH-AH-HC`          | HC      | `{"format":"Hardcover"}` |   1,540 |       — |    47 |
| S272   | P100       | `PRH-AH-KD`          | KD      | `{"format":"Kindle"}`    |   1,440 |       — |    87 |
| S273   | P101       | `MCGRAW-TLS-PB`      | PB      | `{"format":"Paperback"}` |     440 |       — |   173 |
| S274   | P101       | `MCGRAW-TLS-HC`      | HC      | `{"format":"Hardcover"}` |     450 |     370 |   166 |
| S275   | P101       | `MCGRAW-TLS-KD`      | KD      | `{"format":"Kindle"}`    |     420 |       — |   179 |
| S276   | P102       | `PEARSON-SSG-PB`     | PB      | `{"format":"Paperback"}` |   1,650 |       — |    72 |
| S277   | P102       | `PEARSON-SSG-HC`     | HC      | `{"format":"Hardcover"}` |   1,700 |       — |   249 |
| S278   | P102       | `PEARSON-SSG-KD`     | KD      | `{"format":"Kindle"}`    |   1,580 |       — |   118 |
| S279   | P103       | `OREILLY-CC-PB`      | PB      | `{"format":"Paperback"}` |   1,600 |   1,440 |    56 |
| S280   | P103       | `OREILLY-CC-HC`      | HC      | `{"format":"Hardcover"}` |   1,650 |       — |   110 |
| S281   | P103       | `OREILLY-CC-KD`      | KD      | `{"format":"Kindle"}`    |   1,540 |       — |   160 |
| S282   | P104       | `OREILLY-DDIA-PB`    | PB      | `{"format":"Paperback"}` |   1,270 |       — |    51 |
| S283   | P104       | `OREILLY-DDIA-HC`    | HC      | `{"format":"Hardcover"}` |   1,310 |   1,110 |   141 |
| S284   | P104       | `OREILLY-DDIA-KD`    | KD      | `{"format":"Kindle"}`    |   1,220 |       — |   221 |
| S285   | P105       | `MCGRAW-CCIT-PB`     | PB      | `{"format":"Paperback"}` |   1,220 |       — |    29 |
| S286   | P105       | `MCGRAW-CCIT-HC`     | HC      | `{"format":"Hardcover"}` |   1,260 |       — |   211 |
| S287   | P105       | `MCGRAW-CCIT-KD`     | KD      | `{"format":"Kindle"}`    |   1,180 |       — |    81 |
| S288   | P106       | `PEARSON-JPC-PB`     | PB      | `{"format":"Paperback"}` |   1,510 |   1,330 |   216 |
| S289   | P106       | `PEARSON-JPC-HC`     | HC      | `{"format":"Hardcover"}` |   1,560 |       — |   108 |
| S290   | P106       | `PEARSON-JPC-KD`     | KD      | `{"format":"Kindle"}`    |   1,450 |       — |   121 |
